activity,x-axis,y-axis,z-axis
Walking,5.83,10.42,0.95
Standing,-1.18,9.34,3.38
Walking,-2.22,8.12,3.34
Walking,-9.51,14.98,-0.34
Standing,0.93,9.72,-0.9942854
Jogging,-15.13,3.41,13.76
Walking,-1.5,9.11,1.879608
Walking,-0.76,8.77,0.95342433
Walking,1.08,5.56,-0.040861044
Standing,-1.53,9.38,3.02
Walking,-0.19,10.38,-1.14
Walking,19.23,9.58,8.049625
Walking,-4.21,6.93,3.49
Walking,-3.79,8.24,1.9477097
Standing,-1.14,9.7,2.91
Jogging,11.07,19.57,-1.9477097
Jogging,13.67,19.57,-1.4573772
Standing,2.45,9.43,2.87
Jogging,-3.83,-0.89,-0.5720546
Walking,3.53,7.46,-1.6480621
Jogging,-8.35,0.15,3.21
Walking,1.38,15.6,-3.636633
Jogging,-4.25,17.73,2.87
Standing,-1.95,9.66,-0.95
Walking,4.9,7.89,0.57
Jogging,4.29,0.42,6.21
Walking,4.71,5.94,-2.45
Jogging,-5.98,-3.83,0.27240697
Jogging,8.69,3.3,2.03
Walking,-2.26,11.5,-0.38
Standing,0.69,10.15,-1.525479
Walking,4.52,12.79,-3.49
Walking,-2.53,6.24,0.313268
Walking,2.98,11.84,-2.9147544
Walking,-3.68,11.92,-0.76
Walking,0.10896278,10.923519,0.42223078
Jogging,-0.89,-4.48,-2.070293
Standing,-1.46,9.81,0.57
Jogging,3.72,5.18,-1.84
Jogging,10.5,13.95,-4.44
Jogging,1.88,-10.69,-0.6946377
Standing,4.1,7.97,0.46
Jogging,8.2,19.57,0.38
Standing,5.86,7.01,-0.11
Standing,-0.65,9.92,1.04
Walking,2.22,14.06,0.95
Standing,-1.69,9.85,0.5
Jogging,-0.11,19.34,-2.79
Standing,-6.4,7.4,1.57
Standing,-1.65,9.43,2.6
Standing,6.32,7.01,-0.04
Walking,0.46,13.21,1.5390993
Standing,0.0,10.12,0.15
Standing,-1.27,9.66,2.76
Walking,-0.72,13.14,2.3699405
Walking,-2.37,5.05,-1.607201
Jogging,-11.18,1.95,9.53
Walking,1.61,10.65,-0.6537767
Walking,-1.38,8.89,4.86
Jogging,-18.69,-9.28,5.175732
Jogging,0.72,-5.56,-0.34
Standing,-1.31,9.77,2.49
Walking,-7.82,1.04,1.57
Jogging,3.87,2.18,0.31
Jogging,7.12,10.84,2.7921712
Jogging,-0.99,10.8,4.4810944
Walking,4.82,11.22,3.6
Jogging,-0.46,10.19,-2.87
Walking,-2.3,12.53,-1.04
Walking,-0.91,9.0,-3.1054392
Walking,1.92,3.64,-3.1054392
Jogging,4.33,5.43,-0.42
Standing,9.0,4.25,1.38
Standing,0.89,9.92,0.27
Standing,-0.8,9.43,2.6832085
Walking,-11.8,-2.03,-1.14
Jogging,13.59,8.39,3.0645783
Standing,-7.59,6.32,1.12
Walking,-2.07,9.38,-2.4108016
Jogging,7.08,10.42,3.99
Standing,-1.46,9.38,2.4925237
Walking,5.18,8.05,2.76
Standing,-0.99,10.0,1.42
Standing,3.34,9.47,-2.11
Standing,-7.06,6.05,-0.46
Walking,10.31,2.64,9.847511
Jogging,-9.0,17.12,5.053149
Walking,-0.3,5.63,-2.37
Walking,2.76,15.43,1.7297841
Walking,-10.84,11.73,0.69
Walking,-2.03,14.44,-0.99
Jogging,7.5,-2.11,8.24
Jogging,-0.04,-4.9,-5.6252036
Jogging,-17.58,11.03,-14.14
Jogging,1.46,-8.54,-8.499097
Jogging,-7.44,4.6,6.47
Jogging,-0.34,16.82,3.99
Walking,7.46,9.62,-2.64
Walking,3.99,6.28,-4.903325
Standing,-0.95,9.38,2.6423476
Standing,-0.27,10.08,1.27
Jogging,2.6,-3.49,-5.012288
Standing,-0.11,9.85,1.65
Standing,2.68,9.38,2.91
Jogging,0.19,2.72,-0.38136974
Walking,2.5606253,8.499097,1.9477097
Walking,7.27,13.25,1.1441092
Standing,-1.18,9.72,2.56
Standing,-1.8,9.3,3.02
Jogging,-6.51,16.55,9.575105
Standing,-0.57,9.92,1.27
Walking,-3.83,7.21,-1.46
Standing,-0.99,9.43,-0.57
Jogging,4.86,-0.27,-3.41
Jogging,-7.27,13.48,-1.14
Walking,1.61,7.67,3.15
Walking,11.3,7.5,-2.7513103
Standing,-3.21,8.39,-1.08
Walking,1.12,5.75,-3.72
Walking,1.54,7.74,-0.3
Jogging,15.17,13.53,-1.7978859
Jogging,-2.11,13.59,1.9477097
Walking,-0.38,5.37,-0.23
Standing,0.8,10.19,0.15
Jogging,-2.53,1.76,-5.6
Standing,-0.84,9.7,1.5
Standing,-3.26,8.58,-1.33
Jogging,-9.62,9.66,-5.48
Walking,-1.33,8.85,0.89
Jogging,4.06,1.84,-2.75
Standing,-5.28,8.24,1.23
Jogging,8.85,7.08,-2.14
Walking,6.82,1.33,0.23
Walking,0.3,10.04,-0.57
Standing,-1.99,9.58,-1.31
Walking,3.64,12.34,-0.46309182
Walking,-3.72,7.78,0.31
Walking,-0.5,3.57,3.76
Walking,-1.18,12.64,2.26
Jogging,-10.76,8.81,15.6
Jogging,-1.57,-6.55,0.89
Standing,-3.38,8.35,-1.04
Standing,-1.53,9.51,2.98
Standing,-1.33,9.72,2.41
Standing,3.68,8.28,0.08
Standing,-4.56,8.54,-0.38
Jogging,-4.71,-5.79,0.34
Standing,-1.57,9.7,1.0760075
Jogging,6.51,19.42,7.6273947
Standing,-1.12,9.34,1.31
Walking,1.12,5.18,0.46
Standing,2.49,9.34,2.91
Walking,2.26,12.72,-0.61
Walking,-1.42,12.22,-3.34
Walking,0.04,2.26,-0.91
Standing,-1.08,9.43,-0.38
Standing,-1.04,9.38,-0.53
Jogging,4.82,8.01,6.782933
Walking,4.02,10.15,-0.61291564
Standing,-6.09,7.55,1.46
Jogging,-8.05,18.77,0.46309182
Standing,2.6,9.43,1.31
Jogging,-0.99,18.47,-1.08
Walking,-1.14,6.24,-0.53119355
Standing,2.37,9.34,2.87
Standing,-5.18,8.24,-0.72
Walking,3.53,10.65,0.84446156
Walking,6.74,12.45,5.829509
Walking,-0.31,6.66,-0.31
Jogging,-3.26,2.98,-6.2789803
Jogging,2.3,13.87,3.79
Standing,-7.97,4.99,-1.57
Standing,-4.82,7.44,0.76
Standing,-0.15,9.89,1.42
Walking,-3.21,4.99,-2.6014864
Jogging,-6.85,0.23,-0.8
Walking,1.99,13.76,-1.27
Walking,-3.49,15.05,0.72
Walking,1.33,4.52,-3.9499009
Jogging,3.11,-1.5,-3.1463003
Jogging,10.57,-4.52,7.89
Jogging,0.57,5.37,7.65
Walking,16.59,1.92,-12.98
Jogging,8.5,-2.34,5.938472
Walking,-4.71,15.17,-1.04
Standing,-1.08,9.81,2.41
Standing,-0.11,9.92,1.14
Jogging,-2.6,4.37,1.42
Standing,8.39,3.95,1.14
Walking,4.82,12.6,1.3756552
Walking,-4.18,1.08,-2.982856
Standing,-1.14,9.47,3.15
Jogging,-19.61,19.57,-2.7921712
Standing,-1.31,9.38,3.21
Jogging,0.84,19.53,11.985906
Walking,1.42,9.89,0.10896278
Walking,-0.65,11.69,0.61291564
Walking,-2.3,11.8,-3.95
Walking,3.15,5.9,-0.6537767
Jogging,4.44,7.59,-3.41
Walking,3.17,14.21,2.79
Standing,7.16,6.47,-0.04
Walking,4.6,1.76,-3.6774938
Jogging,1.95,-0.08,2.8330324
Standing,-4.02,8.62,-0.65
Walking,-10.46,10.42,-7.04
Jogging,0.34,-8.85,-8.390134
Walking,-2.56,9.58,1.8
Jogging,0.76,-1.23,-4.9850473
Jogging,7.01,18.58,6.3607025
Standing,-1.57,9.58,2.79
Walking,1.38,10.42,-3.79
Standing,-1.27,9.43,-0.34
Jogging,8.62,-2.53,-4.671779
Walking,-3.34,10.57,0.6537767
Jogging,1.73,-1.27,0.23
Walking,-4.29,12.15,2.83
Jogging,0.11,9.72,-1.4573772
Jogging,-19.23,-2.45,-0.95
Jogging,4.1,10.38,3.445948
Walking,-0.99,11.8,-6.5513873
Standing,-1.57,9.77,1.76
Jogging,-4.14,1.33,0.38
Walking,15.64,8.96,-2.6423476
Standing,-7.59,6.51,0.8
Standing,-6.82,7.08,1.23
Standing,-1.61,9.58,2.96
Walking,2.18,9.7,1.6480621
Walking,2.68,10.34,-2.79
Jogging,6.74,4.37,1.920469
Walking,-0.99,4.25,-1.65
Standing,-1.61,9.85,0.0
Standing,-1.08,9.38,-0.34
Standing,0.95,9.92,0.27
Walking,-4.71,1.27,-2.91
Walking,3.57,18.24,11.65
Walking,-3.15,4.6,0.89
Jogging,18.35,16.74,-5.41
Jogging,-18.01,10.38,-8.01
Jogging,-2.22,1.12,-0.65
Walking,0.23,4.94,1.4982382
Jogging,-4.44,14.25,-0.89
Walking,5.67,7.06,-0.42223078
Walking,6.66,4.94,-1.0351465
Jogging,-2.49,-8.77,1.76
Standing,-1.08,9.72,1.65
Walking,1.04,0.95,-4.14
Standing,0.11,9.89,1.57
Walking,4.86,13.18,3.2961242
Standing,0.0,9.85,1.42
Standing,3.53,8.28,0.11
Standing,1.12,9.92,0.23
Jogging,-1.8,2.98,-1.65
Standing,7.86,4.21,2.6
Standing,-0.91,9.7,2.53
Walking,0.53,15.43,1.4165162
Standing,-5.22,8.16,1.38
Jogging,2.87,-0.3,-1.4165162
Jogging,-11.11,9.77,-0.61291564
Jogging,8.35,-6.74,6.47
Standing,3.57,9.3,-2.11
Standing,-3.17,8.39,-1.38
Jogging,-1.95,-0.5,-0.15
Standing,5.43,6.36,1.18
Jogging,4.67,18.39,6.6331096
Walking,-3.06,7.82,0.0
Standing,0.0,9.96,1.12
Walking,8.31,7.89,3.6
Jogging,-16.51,1.14,6.17
Walking,4.02,15.13,8.31
Jogging,5.6,-0.61,-4.86
Jogging,-11.88,7.67,4.06
Jogging,-2.64,2.3,-3.3
Jogging,4.9,-1.8,1.0351465
Walking,8.08,13.25,-4.48
Standing,0.19,9.96,-0.72
Walking,0.15,7.78,-0.19068487
Walking,4.82,11.65,11.073342
Walking,15.28,4.9,5.05
Walking,8.2,4.18,-3.17
Walking,-0.3,8.58,-0.38136974
Standing,2.53,9.62,-0.5
Walking,-10.69,16.28,-0.0
Standing,-0.76,9.58,1.1849703
Jogging,6.32,7.4,1.88
Jogging,-1.73,-1.31,-4.399372
Jogging,6.51,19.53,-5.8567495
Jogging,-1.33,7.16,-1.920469
Standing,-1.18,9.38,1.23
Jogging,0.99,4.56,-4.2495484
Walking,0.38,8.73,7.504812
Standing,-5.18,8.12,1.42
Walking,-7.55,10.0,-4.94
Jogging,-0.8,13.63,2.68
Standing,-1.14,9.38,-0.42
Jogging,1.61,-1.57,-0.31
Walking,0.95,9.85,-2.18
Walking,-2.3,5.28,-1.57
Standing,-1.18,9.89,0.42
Jogging,3.17,9.11,6.7
Standing,-1.88,9.66,-0.84
Standing,-1.33,9.58,1.8
Standing,-8.12,9.89,1.84
Walking,12.18,12.41,1.920469
Jogging,-2.76,6.85,-1.92
Jogging,-6.89,15.4,0.11
Walking,0.53,2.53,-0.91
Walking,-0.46,6.36,0.42
Jogging,19.53,3.3,1.69
Standing,1.14,9.92,0.38
Jogging,-11.45,-3.95,-0.61
Walking,3.57,9.28,3.91
Standing,-6.7,7.86,1.46
Walking,4.37,4.06,-2.6423476
Standing,2.3,9.47,1.18
Standing,-1.23,9.34,1.27
Walking,1.5,6.44,0.61
Walking,-2.11,18.24,-6.4
Walking,-2.07,5.24,2.9147544
Standing,-0.11,9.89,1.27
Jogging,-5.98,6.36,-4.29
Jogging,0.95,-0.3,3.8273177
Walking,-3.91,0.42,-1.76
Jogging,18.89,19.57,-11.14
Standing,-5.22,8.08,-0.89
Jogging,-19.23,-1.53,0.0
Walking,3.3,2.07,-1.73
Standing,-1.33,8.58,6.78
Standing,2.53,9.3,2.83
Walking,1.84,7.35,1.73
Walking,-0.23,7.46,-5.98
Walking,0.34,7.31,2.07
Jogging,-2.53,13.38,-2.4108016
Walking,1.14,12.57,-2.7921712
Jogging,0.23,1.5,10.31
Jogging,-4.48,-2.03,7.04
Standing,-8.54,5.24,-0.27
Jogging,2.56,7.31,-3.0237172
Jogging,-6.82,7.12,1.08
Standing,0.95,9.92,0.31
Jogging,-1.54,10.99,-2.91
Standing,-1.84,9.7,-0.8
Jogging,-7.46,19.23,-6.5513873
Standing,0.5,9.92,-1.1168685
Standing,-3.17,8.39,-0.95
Jogging,-9.04,-2.53,-1.4573772
Standing,-0.84,9.7,1.46
Standing,-7.89,6.02,-0.76
Walking,10.38,4.6,-0.65
Standing,5.71,7.5,0.04
Standing,-0.99,9.51,2.87
Walking,3.64,18.66,-0.5
Standing,-1.99,9.58,-1.12
Walking,4.79,5.94,-0.57
Walking,3.87,6.32,-2.7240696
Standing,6.55,6.93,-0.08
Standing,-1.14,9.66,1.31
Jogging,-1.95,3.72,0.19068487
Walking,-0.23,5.67,0.38
Standing,8.01,4.82,1.33
Standing,-0.69,9.43,2.6832085
Jogging,10.08,7.86,5.33
Standing,-1.33,9.62,1.4165162
Jogging,-1.99,5.22,2.2609777
Walking,-1.42,15.28,0.93
Standing,-0.04,9.85,1.33
Standing,-8.2,5.13,-0.72
Jogging,-0.19,-3.49,-5.706926
Standing,-0.76,9.96,2.18
Jogging,1.99,-0.34,-8.47
Walking,1.84,7.59,-3.98
Jogging,0.61,0.19,0.31
Standing,0.8,9.72,-1.56634
Jogging,13.44,-9.81,-7.46
Walking,8.81,11.37,0.34
Walking,8.96,18.54,17.43
Walking,-1.04,16.93,10.310603
Walking,2.64,13.53,2.2201166
Jogging,-13.67,-2.56,10.95
Walking,5.79,12.41,0.99
Standing,-1.12,9.43,-0.34
Standing,-3.21,8.47,-0.95
Standing,-4.9,8.43,-0.27
Jogging,19.57,4.4,2.070293
Standing,-0.08,10.04,0.38
Standing,-5.2,7.63,0.93
Standing,-1.12,9.34,1.14
Walking,5.01,7.01,1.0760075
Walking,2.83,7.86,0.50395286
Standing,-8.28,5.86,-0.69
Walking,-1.57,9.08,-0.11
Jogging,2.37,19.84,1.18
Jogging,1.73,-5.75,-6.17
Walking,10.92,5.37,-2.3
Walking,-0.5,15.02,0.91
Jogging,14.82,19.57,-14.02
Walking,0.76,7.21,1.54
Standing,-0.65,9.89,1.14
Jogging,-16.86,12.11,-0.27
Jogging,-17.27,17.47,-5.01
Walking,-4.48,11.37,1.04
Walking,-7.55,3.68,-7.8861814
Walking,10.8,8.16,-0.9125633
Jogging,-1.4573772,14.410328,-0.040861044
Walking,3.3,10.19,2.56
Standing,3.95,8.43,-0.08
Standing,-1.23,9.34,1.18
Standing,-0.91,9.38,2.5606253
Walking,8.73,9.66,3.41
Jogging,18.31,19.57,0.19068487
Jogging,-5.09,6.78,-2.37
Standing,-6.51,7.31,1.53
Walking,13.57,19.53,4.140586
Standing,-1.12,9.53,2.68
Standing,-4.56,8.39,-1.08
Walking,7.44,8.89,-2.6
Jogging,0.93,0.69,5.6252036
Standing,1.14,9.92,0.31
Walking,-1.95,1.23,-2.4516625
Jogging,11.56,3.99,-3.8681788
Jogging,-2.79,18.47,0.53119355
Walking,-1.42,11.41,10.12
Standing,-0.5,9.85,0.38
Walking,-0.46,14.6,12.639683
Jogging,-3.26,-1.23,-9.575105
Standing,7.59,5.05,1.31
Jogging,5.56,-18.81,1.38
Walking,8.31,9.15,4.399372
Standing,0.93,9.89,-1.2258313
Jogging,-1.12,3.15,-4.1
Standing,-1.12,9.47,1.27
Standing,0.0,9.89,1.38
Walking,5.86,4.33,-1.1441092
Walking,-10.5,19.31,-5.5571017
Standing,-4.99,8.35,-0.27
Walking,3.06,9.43,0.88532263
Walking,2.79,6.7,-0.5720546
Standing,-6.51,7.21,1.57
Standing,-0.93,9.47,-0.11
Standing,-5.18,8.24,1.33
Jogging,-1.99,-8.39,-2.64
Standing,-0.89,9.92,0.27
Standing,-0.99,9.62,2.53
Walking,7.1234417,10.269742,-0.84446156
Standing,-4.86,8.58,0.04
Jogging,-3.79,-7.86,1.99
Jogging,-10.99,7.31,-5.01
Walking,15.13,15.05,2.64
Standing,7.82,7.21,0.46
Walking,2.83,0.95,0.04
Walking,11.75,4.1,-2.03
Walking,-6.13,-2.49,-0.57
Standing,1.04,9.92,0.34
Jogging,-3.76,15.75,3.0237172
Standing,2.37,9.3,1.54
Walking,-2.64,8.92,4.63
Walking,-0.57,7.7,-0.89
Standing,-5.98,7.5,1.31
Jogging,-13.38,19.57,-8.049625
Jogging,15.36,-6.43,13.33432
Jogging,-19.61,3.26,-6.78
Standing,-4.99,8.47,-0.15
Standing,-1.31,9.51,2.3699405
Jogging,-0.65,18.16,8.96
Jogging,7.08,0.42,4.06
Jogging,1.12,14.48,-10.57
Walking,-0.3,9.47,-2.7513103
Jogging,-7.93,7.97,-8.076866
Walking,0.31,7.86,-4.79
Standing,-1.12,9.89,-0.65
Walking,7.12,3.21,-2.6
Walking,0.8,8.81,-3.36
Jogging,8.158588,1.334794,-7.8180795
Walking,-1.14,8.05,-3.41
Standing,-1.31,9.3,1.27
Walking,-6.05,7.44,-1.0760075
Walking,4.33,8.24,1.7978859
Jogging,-2.72,4.37,0.61291564
Walking,-2.91,9.11,4.5219555
Walking,7.31,7.5,-1.1849703
Standing,-1.65,9.77,1.1849703
Walking,-0.34,6.66,-3.1463003
Walking,-9.43,17.31,-9.38
Standing,1.8,9.58,0.69
Jogging,-2.22,-1.14,-0.10896278
Walking,0.76,8.85,0.11
Walking,12.6,-3.57,-9.38
Standing,7.12,5.13,3.36
Standing,0.95,9.92,0.34
Standing,-0.91,9.7,2.96
Walking,5.2,13.82,3.26
Walking,3.95,13.4,6.0882955
Standing,-1.14,10.0,-0.3
Jogging,-0.89,-1.53,3.68
Walking,-1.69,6.4,-3.45
Jogging,3.49,19.57,2.0294318
Walking,-2.75,10.42,7.6273947
Jogging,18.01,5.48,-1.27
Standing,1.04,9.92,0.31
Walking,-4.82,5.67,-5.43
Walking,-0.65,11.03,-4.29
Jogging,1.8,-0.5,-4.52
Walking,10.65,15.83,1.334794
Walking,5.67,8.39,-3.15
Walking,-1.33,0.76,-2.45
Walking,0.42,5.13,4.0588636
Standing,-2.34,9.89,1.14
Walking,2.56,17.86,2.7649305
Walking,7.16,11.56,2.76
Jogging,-1.8,12.95,10.95076
Walking,3.17,5.43,-2.03
Jogging,0.42,0.72,-0.84446156
Jogging,-5.82,-0.95,-3.636633
Standing,-7.78,5.43,-1.12
Jogging,-19.38,19.15,-13.988097
Walking,6.63,10.31,-0.15
Walking,-8.12,13.48,2.18
Walking,2.87,14.18,0.5720546
Standing,0.65,10.04,-1.2666923
Standing,0.95,9.43,0.99
Standing,-0.34,10.0,0.69
Walking,6.02,10.42,-0.76
Standing,-7.59,6.74,-0.46
Walking,-0.69,6.28,-1.525479
Jogging,0.19,2.91,-2.11
Jogging,-10.15,17.05,-3.3
Walking,-4.14,3.68,-2.1792557
Walking,12.3,7.46,-0.42223078
Walking,-2.75,3.15,1.4165162
Jogging,-16.28,-0.08,-4.52
Jogging,12.72,14.44,-2.3018389
Standing,-1.53,9.89,0.84
Standing,1.57,9.89,0.8036005
Standing,-1.12,9.72,1.38
Jogging,-4.99,14.29,6.1700177
Jogging,-13.29,5.41,-3.79
Walking,-4.94,3.41,1.2258313
Jogging,-8.31,6.02,0.5720546
Jogging,10.19,5.37,-0.5
Jogging,-5.86,14.06,-3.6
Walking,5.41,2.96,-1.08
Jogging,-2.41,20.04,-3.95
Walking,11.37,7.46,4.7943625
Jogging,-3.79,-2.18,-7.5865335
Walking,7.89,7.08,2.152015
Standing,1.04,9.92,-1.7297841
Walking,2.7240696,6.973618,3.173541
Standing,0.0,9.85,1.33
Standing,0.08,9.85,1.46
Walking,-1.69,5.18,-2.6014864
Jogging,2.11,-1.69,2.41
Walking,5.94,8.66,-1.42
Standing,-1.65,9.72,1.1168685
Standing,-0.08,9.92,1.54
Walking,3.83,8.77,0.42
Standing,-5.37,8.01,-1.08
Jogging,0.0,-1.12,-2.18
Jogging,-5.94,9.15,-1.56634
Jogging,3.38,-3.6,2.152015
Jogging,19.57,18.24,-10.56939
Jogging,-3.26,-9.92,-2.11
Jogging,-3.76,-0.08,1.88
Walking,8.47,4.67,-2.22
Jogging,-6.66,15.7,0.19
Standing,3.6,9.38,-1.88
Walking,0.84,8.2,-2.6
Jogging,-6.21,-2.64,-1.73
Standing,-1.27,9.3,1.14
Jogging,-0.3,-3.76,-0.6537767
Jogging,-0.8,1.99,2.07
Walking,10.73,4.1,2.07
Walking,0.31,9.11,-1.0351465
Standing,-1.14,9.28,1.57
Walking,0.5,13.91,-0.23154591
Standing,-1.14,9.51,2.6
Walking,5.18,13.14,-2.3699405
Jogging,-19.23,-5.98,-4.21
Standing,-0.3,9.89,0.31
Jogging,11.6,-2.53,0.31
Jogging,0.08,7.08,-3.445948
Walking,1.57,10.12,-6.63
Walking,2.22,8.92,-5.05
Walking,3.41,11.84,1.99
Walking,-3.41,12.41,14.67
Walking,2.96,10.31,0.5720546
Standing,-1.27,9.66,-1.12
Jogging,1.31,13.38,10.04
Standing,-1.14,9.3,1.27
Jogging,-13.57,19.57,-4.94
Standing,-0.8,9.58,3.26
Walking,10.27,12.53,-4.399372
Standing,-5.2,8.54,0.0
Standing,-1.23,9.3,1.38
Jogging,-6.238119,-3.5276701,-5.325556
Walking,-1.08,2.07,-2.8738933
Jogging,-2.91,6.13,3.26
Jogging,10.31,13.67,3.759216
Jogging,-8.35,4.4,0.7627395
Jogging,-0.8,3.64,1.14
Standing,-3.06,9.53,0.65
Walking,4.86,8.85,0.34
Standing,-7.31,6.13,-0.72
Standing,-1.12,9.43,-0.38
Walking,2.22,8.5,-2.07
Standing,2.56,9.23,1.57
Jogging,17.01,15.17,11.604536
Walking,4.52,9.89,-0.23
Jogging,19.0,19.57,-8.267551
Jogging,3.15,-3.26,-7.5456724
Walking,8.62,12.3,9.888372
Jogging,6.66,18.35,-5.37
Standing,-6.17,7.59,1.5
Standing,1.54,9.92,0.84446156
Standing,-5.13,8.01,-1.54
Standing,-1.33,9.3,1.23
Standing,-7.46,6.44,1.46
Walking,-2.87,1.99,-2.56
Standing,1.08,9.89,0.15
Walking,6.02,10.92,-0.99
Walking,-4.48,17.62,6.238119
Jogging,1.18,3.57,-1.31
Standing,1.69,9.92,-0.84446156
Walking,-2.11,7.89,1.4573772
Standing,-0.72,9.3,1.2666923
Walking,7.21,12.18,0.69
Standing,-1.57,9.62,1.99
Jogging,-4.94,4.67,5.7477865
Standing,1.04,9.96,0.34
Walking,-3.64,1.76,-1.5
Standing,-0.95,9.72,1.18
Standing,-7.78,5.28,-1.46
Standing,-5.18,8.2,1.38
Walking,-7.63,7.35,2.98
Walking,5.6,15.79,-7.8180795
Standing,-4.94,8.43,-0.23
Jogging,4.18,-9.81,-0.9125633
Walking,-2.11,8.77,-1.27
Walking,4.86,15.85,2.22
Jogging,-4.9,3.76,-3.57
Jogging,0.89,8.43,4.21
Walking,-0.72,2.72,-4.2495484
Jogging,-0.08,3.79,9.04
Standing,-0.57,9.66,1.56634
Walking,2.37,3.53,-2.1111538
Walking,1.73,5.37,-3.02
Walking,-1.65,5.67,0.84446156
Jogging,4.25,19.57,-1.27
Jogging,-1.99,2.49,2.03
Standing,-1.84,9.66,2.37
Standing,-1.23,9.47,2.6
Standing,2.6,9.3,2.96
Jogging,19.27,6.85,-8.349273
Jogging,5.6,12.98,5.366417
Jogging,5.6252036,13.865514,-0.7627395
Walking,-2.07,9.51,0.93
Standing,-1.08,9.58,2.87
Jogging,9.92,18.92,-4.5219555
Standing,1.8,9.89,1.1849703
Walking,2.3,4.52,-7.25
Jogging,19.95,9.81,-7.16
Standing,-0.34,9.7,-1.7297841
Walking,6.09,13.38,-3.5276701
Walking,7.31,15.17,-3.214402
Standing,0.61,9.85,-0.7218784
Standing,5.79,7.08,0.3
Jogging,-11.41,15.17,-4.21
Walking,-0.72,12.18,2.41
Walking,-5.9,9.89,0.93
Standing,2.56,9.34,2.87
Walking,2.3,11.88,8.58
Walking,1.08,9.7,-1.69
Walking,1.76,7.4,2.152015
Walking,-6.02,14.25,0.57
Walking,7.16,5.18,3.11
Jogging,-12.15,3.41,-0.6537767
Walking,5.09,7.63,-1.12
Standing,-1.12,9.53,2.2201166
Walking,1.18,3.15,-5.366417
Standing,8.43,5.28,0.76
Jogging,6.13,0.23,-2.8738933
Standing,-5.24,8.16,1.27
Jogging,15.83,-0.65,-1.04
Walking,-6.05,10.46,-1.95
Jogging,-1.38,0.42,-1.76
Walking,1.46,13.57,9.043911
Standing,-0.76,9.7,2.83
Standing,-1.23,9.34,1.23
Jogging,-3.79,17.12,-2.37
Jogging,13.48,8.16,13.59
Standing,0.34,9.81,-0.19
Walking,-1.76,13.8,2.56
Walking,-1.99,3.57,1.61
Standing,3.95,8.43,-0.27
Walking,4.67,8.43,-2.6423476
Jogging,0.38,10.46,-4.99
Standing,-4.86,8.08,-0.08
Walking,2.53,1.27,-0.88532263
Walking,15.85,-1.38,-14.48
Jogging,1.23,-4.71,-5.52
Walking,-1.27,2.72,-2.64
Jogging,7.31,18.58,6.78
Jogging,-3.06,-7.08,4.9
Walking,3.95,3.15,1.92
Standing,1.69,9.81,0.23
Standing,-1.18,9.34,1.14
Standing,1.57,10.0,0.5720546
Jogging,1.69,16.13,-3.49
Standing,-0.93,9.47,-0.34
Walking,-4.99,4.79,-1.18
