activity,x-axis,y-axis,z-axis
Walking,-2.11,11.07,3.0645783
Jogging,0.53,15.7,16.66
Walking,-1.42,19.53,-3.68
Standing,1.8,9.92,1.1849703
Standing,-5.33,8.05,-1.46
Jogging,-2.34,4.1,3.6774938
Jogging,1.5,14.56,-6.238119
Jogging,-1.27,-1.61,-1.56634
Standing,-3.3,8.54,-1.08
Jogging,-4.18,14.18,1.7570249
Jogging,-13.44,-0.91,0.46
Standing,-5.05,8.43,-0.15
Jogging,8.5,-3.79,-1.7297841
Jogging,-1.84,2.79,-4.3312707
Walking,6.21,3.45,-2.37
Jogging,6.7,19.5,-2.2201166
Standing,8.43,5.43,0.11
Walking,-0.46,11.96,-1.7978859
Jogging,3.45,4.6,0.6946377
Standing,-6.66,7.4,2.07
Standing,-3.17,8.58,-0.65
Standing,-1.14,9.43,-0.38
Jogging,-7.31,5.09,-7.3549876
Standing,6.21,6.78,0.11
Jogging,1.65,-4.82,-3.41
Standing,0.69,9.92,-1.7570249
Walking,1.84,8.69,-3.2961242
Jogging,0.19,-5.56,-2.37
Standing,7.04,6.32,0.76
Walking,4.21,13.53,-0.14982383
Standing,-1.38,9.28,2.76
Walking,-6.55,2.41,-2.91
Walking,3.57,9.15,6.2789803
Walking,-2.26,11.03,-1.7297841
Standing,1.69,9.81,1.334794
Jogging,19.53,19.57,-5.243834
Walking,11.96,7.25,6.09
Standing,-0.34,9.92,0.84
Standing,-1.08,9.43,-0.34
Walking,-7.27,4.21,-9.724928
Standing,-1.08,9.43,0.08
Walking,4.37,11.22,7.08
Jogging,9.85,5.52,-1.8387469
Walking,0.53,5.33,-2.9556155
Standing,-1.23,9.53,2.2609777
Jogging,0.04,7.7,2.9147544
Walking,-4.82,8.08,-0.04
Walking,-8.73,10.69,3.45
Jogging,-18.31,16.44,-3.95
Jogging,18.89,18.92,2.7240696
Walking,0.76,4.48,-3.214402
Standing,-0.46,9.92,0.95
Walking,3.49,6.66,-3.57
Jogging,12.22,-2.07,8.390134
Jogging,-4.48,7.86,0.95
Jogging,-10.11,2.26,0.040861044
Walking,14.06,8.05,5.012288
Jogging,4.56,11.73,3.173541
Walking,1.76,4.86,-2.7513103
Walking,0.23,16.25,-6.21
Walking,3.72,8.12,7.082581
Walking,6.66,10.15,8.921328
Standing,0.72,9.96,0.31
Walking,-2.83,8.5,-4.21
Standing,-7.82,5.75,-0.69
Walking,-1.8,10.53,3.255263
Walking,-5.75,0.95,-3.445948
Jogging,2.53,-5.79,-4.630918
Walking,0.53,0.93,8.049625
Walking,-16.86,18.24,-0.08
Walking,8.2,12.68,-2.7513103
Walking,9.04,8.5,-1.3756552
Jogging,6.05,15.6,6.78
Jogging,4.48,-9.58,3.76
Walking,-2.45,7.97,-3.173541
Walking,5.33,9.08,-4.1
Walking,-2.15,3.11,-1.27
Jogging,9.92,19.57,-2.75
Walking,0.19,4.75,-1.12
Jogging,12.11,0.15,-0.19
Standing,-8.16,5.94,-0.04
Standing,-1.33,9.58,2.1792557
Walking,1.42,2.15,-3.255263
Walking,1.04,10.12,-3.41
Walking,16.55,18.89,3.91
Standing,2.56,9.34,2.87
Standing,-1.31,9.43,0.3
Jogging,16.89,1.08,-6.3198414
Standing,-1.23,9.38,1.23
Standing,-1.31,9.7,2.6
Standing,-3.21,8.5,-1.23
Jogging,0.42,-3.72,-1.56634
Standing,2.6,9.23,-0.69
Walking,2.34,8.01,-0.53
Standing,-0.84,9.47,2.7240696
Walking,-4.37,4.79,3.34
Walking,1.23,2.07,-1.95
Standing,-1.18,9.72,1.27
Walking,8.16,0.95,-6.51
Standing,0.93,9.47,2.53
Standing,-0.46,9.96,0.76
Walking,-3.36,7.08,-0.8
Walking,-8.77,0.57,2.03
Standing,-7.82,5.75,-1.12
Jogging,3.3,3.15,0.34
Jogging,-16.47,4.67,-1.53
Walking,0.57,7.89,-0.040861044
Walking,4.37,13.87,6.3607025
Jogging,3.68,-7.4,-2.96
Standing,-7.35,6.74,0.61
Jogging,-12.18,2.3,-4.79
Walking,3.38,3.26,-2.2609777
Jogging,17.12,19.57,-4.5900574
Jogging,3.49,15.98,1.920469
Jogging,-4.52,11.8,-0.69
Walking,6.4,12.11,2.49
Walking,-3.68,2.45,-1.88
Walking,13.14,14.06,-3.3
Walking,-7.01,11.03,7.5
Jogging,-0.91,16.21,0.8
Jogging,2.15,-5.33,2.96
Standing,-2.14,9.92,0.76
Walking,2.49,17.01,-1.84
Walking,0.93,11.96,0.3405087
Walking,14.21,19.42,12.57
Standing,-4.9,8.62,-0.11
Standing,-1.23,9.47,-0.53
Standing,1.99,9.62,1.04
Jogging,7.12,7.35,-2.7513103
Walking,-1.12,17.82,14.056199
Jogging,9.23,-3.36,6.4015636
Jogging,-8.62,10.15,-5.82
Jogging,3.72,0.34,4.944186
Walking,0.65,10.92,-0.040861044
Jogging,6.89,-1.5,-1.12
Standing,1.08,9.92,0.38
Standing,3.64,9.3,-1.92
Standing,0.95,9.92,0.31
Jogging,12.45,15.98,6.2789803
Standing,-0.11,9.81,-1.27
Standing,-1.18,9.34,1.18
Walking,5.09,1.54,-3.57
Walking,-0.57,8.24,-1.76
Jogging,-12.22,3.3,1.92
Walking,-1.61,4.33,-0.38
Walking,3.72,12.83,2.22
Jogging,-12.98,10.88,1.5
Jogging,6.55,8.5,4.7535014
Jogging,-10.53,14.82,-4.06
Standing,-1.04,9.38,2.7649305
Standing,-2.07,9.66,-1.04
Standing,0.99,9.47,2.49
Standing,3.34,9.47,-1.84
Standing,3.98,8.5,0.04
Walking,-0.72,9.0,6.7
Jogging,1.38,4.06,-10.528529
Walking,6.28,12.18,-0.27240697
Jogging,0.53,-3.34,-2.83
Jogging,-9.47,-1.27,0.5
Jogging,11.3,2.22,-1.0760075
Standing,-1.27,9.62,2.98
Jogging,-0.76,-3.34,3.445948
Standing,0.0,9.96,-1.56634
Jogging,-2.3,7.78,8.008764
Jogging,14.86,0.69,6.13
Walking,-1.33,6.02,-1.334794
Standing,6.93,5.13,3.49
Walking,-3.64,2.49,-0.38
Standing,1.23,9.58,2.72
Walking,12.3,7.12,-0.93
Jogging,16.63,-0.99,3.38
Walking,5.13,3.95,-0.61291564
Standing,-1.88,9.15,2.11
Walking,4.48,8.81,1.879608
Standing,-4.99,8.28,1.46
Jogging,-14.21,19.57,-3.9771416
Standing,-5.6,7.89,-1.23
Standing,2.22,9.11,-0.5
Standing,-1.12,9.38,-0.42
Standing,2.79,8.77,-0.65
Standing,3.6,8.43,0.57
Standing,-0.84,9.34,2.7649305
Standing,-0.95,9.28,1.08
Standing,-1.65,9.81,0.34
Standing,-8.01,5.9,-0.93
Jogging,-1.5,5.33,-9.08
Walking,19.31,-8.96,2.76
Jogging,-3.06,-0.65,-2.7240696
Standing,2.64,9.04,0.76
Walking,0.0,12.57,1.920469
Jogging,7.89,11.07,6.7
Jogging,1.84,15.32,3.3
Standing,-3.26,8.54,-0.93
Walking,-0.95,10.84,4.903325
Standing,2.53,9.38,2.79
Walking,0.5,12.83,-4.79
Walking,-2.49,3.15,-1.73
Standing,-3.06,8.47,-1.08
Walking,-4.86,14.71,-1.73
Standing,-0.69,9.77,2.45
Jogging,3.53,14.29,10.841797
Standing,-1.04,10.0,-1.08
Jogging,-7.01,11.8,0.11
Jogging,-18.73,3.26,-0.23
Jogging,7.16,8.24,4.1
Standing,0.38,9.96,-1.1441092
Walking,-3.87,10.46,0.42
Jogging,-1.5,0.61,-1.6889231
Standing,-1.08,9.89,0.92618364
Jogging,-4.14,-1.92,-0.91
Jogging,16.36,15.28,10.882658
Jogging,12.87,-0.04,0.76
Walking,1.61,10.88,2.1111538
Walking,-0.91,11.54,6.5922484
Jogging,18.28,10.19,-1.6480621
Walking,-4.02,16.93,-5.01
Walking,-7.01,13.76,-2.75
Walking,-7.12,12.91,-2.83
Jogging,-14.21,-2.03,-9.888372
Walking,-11.07,18.66,-4.9
Walking,1.5,13.21,-1.6889231
Standing,5.98,7.06,0.0
Standing,-1.14,9.34,1.31
Jogging,11.65,12.6,11.223166
Standing,-2.22,9.85,1.31
Jogging,1.76,-3.41,0.76
Standing,-1.57,9.7,0.9942854
Walking,9.34,0.89,-0.19
Standing,0.15,10.38,-1.46
Walking,-9.34,7.5,-7.7772183
Walking,-3.87,6.66,-2.7513103
Walking,-0.23,5.67,-0.15
Jogging,-4.25,-3.76,2.2201166
Jogging,-12.49,16.82,0.15
Jogging,-6.0201936,13.484144,3.5957718
Jogging,19.42,18.05,-2.8330324
Standing,-3.26,8.43,-0.95
Jogging,0.95,-2.96,-0.93
Standing,-1.42,9.89,1.5
Jogging,2.83,13.1,-7.5
Jogging,-2.91,-1.53,0.27240697
Walking,7.4,10.5,4.903325
Standing,-7.46,6.44,1.42
Jogging,3.36,-5.9,0.0
Standing,-7.86,5.43,-1.69
Jogging,-6.28,6.78,0.72
Jogging,3.17,15.55,-2.53
Walking,3.26,15.02,-0.04
Walking,2.18,5.6,-3.636633
Jogging,-2.56,2.3,-5.09401
Walking,-0.8,10.57,-2.03
Jogging,-0.76,19.46,-3.3642259
Standing,-2.26,9.85,2.26
Jogging,-4.56,-1.73,4.67
Standing,2.64,9.28,2.98
Walking,-5.56,12.68,2.49
Walking,-4.94,5.37,-2.96
Walking,10.84,2.41,5.2
Standing,-8.01,5.75,-0.5
Jogging,0.15,-0.11,-0.5
Standing,-1.88,9.72,0.93
Walking,-0.04,13.21,0.53
Walking,-3.41,7.27,-0.89
Walking,3.45,4.33,-1.6889231
Jogging,-7.5,-1.08,-1.84
Jogging,-4.75,0.99,1.1441092
Jogging,-8.69,5.63,-4.67
Standing,-5.28,8.54,0.53
Jogging,-1.42,18.89,-0.34
Jogging,-10.53,9.0,3.8273177
Walking,1.31,17.39,-0.38
Jogging,0.46,6.55,-1.56634
Walking,0.84,4.14,-3.21
Walking,3.87,11.88,-1.6889231
Walking,5.75,6.24,1.7297841
Jogging,-5.05,-17.35,3.57
Jogging,-5.79,-0.42,-2.7513103
Walking,6.63,13.87,2.4516625
Jogging,2.11,4.48,1.3075534
Walking,-1.8,2.76,-6.59
Standing,-1.27,9.85,0.6537767
Standing,-0.69,9.43,2.6014864
Walking,3.95,9.19,4.21
Walking,-3.45,8.12,-0.8
Jogging,-18.01,7.78,-3.49
Standing,-7.86,5.86,-1.33
Standing,-0.89,9.72,-0.27
Walking,17.62,-14.86,6.09
Jogging,-5.9,5.05,-3.98
Standing,0.19,10.38,2.18
Jogging,0.27,5.9,0.0
Jogging,-2.64,-3.76,-4.29
Walking,-6.09,7.89,3.636633
Walking,6.4,11.73,-1.6889231
Standing,-1.42,9.81,1.1441092
Walking,1.46,13.53,-2.18
Standing,0.04,9.89,1.5
Standing,-2.03,9.66,-0.84
Standing,-1.23,9.77,0.8
Jogging,-18.77,8.31,-14.82
Standing,-8.35,4.56,-0.89
Jogging,5.67,-12.41,-6.66
Walking,-8.31,12.07,4.06
Standing,0.8,10.34,-1.1441092
Walking,-5.63,7.25,-4.52
Walking,-10.84,-1.57,11.99
Jogging,-13.72,-17.73,12.07
Walking,10.92,18.81,11.73
Standing,1.04,9.0,-1.31
Standing,-5.52,7.93,-1.08
Jogging,-0.23,9.85,-1.95
Jogging,-4.02,19.7,-1.5
Walking,3.79,14.82,-4.18
Standing,-1.04,9.51,-0.08
Walking,14.71,0.5,-1.0351465
Jogging,-9.92,6.78,-5.82
Walking,1.88,6.93,-2.3699405
Jogging,3.72,1.31,-1.525479
Jogging,-4.44,-0.04,-1.0760075
Standing,-5.79,7.35,-1.73
Jogging,-1.99,-2.11,-3.34
Standing,-0.91,9.77,1.42
Jogging,-2.45,-3.45,-3.79
Walking,2.11,13.06,-1.2258313
Jogging,19.5,7.16,-1.4165162
Standing,6.17,6.97,0.04
Standing,-5.43,7.93,-0.8
Jogging,-17.92,-4.86,-1.12
Standing,0.04,9.89,1.46
Jogging,-2.64,13.99,-4.18
Walking,7.4,-0.15,-2.98
Jogging,-8.2,-1.95,-0.19
Jogging,0.61,1.8,3.02
Walking,3.17,11.07,0.53119355
Standing,-5.01,8.35,-0.57
Jogging,5.79,6.09,7.4
Jogging,0.89,14.56,-4.7943625
Standing,-1.92,9.47,0.92618364
Walking,1.46,9.23,2.41
Standing,-1.08,9.66,2.5606253
Walking,-2.64,4.48,-2.87
Standing,-0.69,10.12,-0.84
Standing,-2.03,9.66,-1.14
Walking,-2.26,4.82,-3.15
Jogging,9.51,17.43,-4.02
Standing,-0.19,9.51,-1.525479
Standing,0.93,9.77,0.08
Walking,4.67,16.13,-9.11
Walking,-11.99,4.9,1.65
Walking,0.99,10.23,3.6774938
Standing,-5.86,7.21,-1.57
Standing,-0.95,9.66,2.96
Standing,1.04,9.96,0.34
Walking,1.18,2.91,-2.26
Jogging,-17.82,16.55,-0.27
Standing,3.17,9.51,1.04
Walking,-3.3,12.18,-3.79
Walking,5.63,11.22,-5.33
Standing,0.08,9.89,1.38
Jogging,-3.91,0.5,2.7240696
Standing,-1.14,10.04,0.92618364
Standing,-6.97,7.06,-0.65
Jogging,12.22,10.73,8.662541
Walking,-2.11,16.28,0.6537767
Standing,-1.18,9.7,1.04
Jogging,-10.19,-4.37,-1.33
Walking,3.6,14.18,7.21
Walking,3.17,15.09,-0.040861044
Standing,1.27,9.43,1.18
Standing,-4.52,8.54,-1.33
Walking,-2.68,19.53,-2.3699405
Jogging,-3.17,11.96,-1.99
Walking,13.44,2.37,1.04
Jogging,12.34,8.2,8.499097
Jogging,-0.38,6.4,-2.7921712
Walking,5.829509,10.419566,-0.88532263
Standing,-1.33,9.72,1.56634
Jogging,-6.36,18.73,6.05
Jogging,-11.95,-0.5,-3.3
Walking,9.77,12.76,7.08
Jogging,5.6,-1.08,-0.50395286
Standing,-1.18,9.38,-0.38
Jogging,-1.46,-6.82,6.85
Jogging,-3.21,6.21,17.12
Walking,3.99,10.0,-0.8036005
Jogging,0.46,0.99,1.6889231
Walking,9.19,19.5,15.79
Standing,-1.18,9.43,-0.34
Standing,1.38,10.27,-1.56634
Jogging,5.52,8.66,-7.04
Walking,-5.67,5.05,0.6537767
Jogging,-9.96,19.61,0.99
Standing,-0.53,9.47,2.79
Standing,-1.33,9.43,2.3426998
Jogging,6.05,19.76,6.78
Standing,-0.69,9.66,1.8
Jogging,-4.1,17.77,2.98
Jogging,-5.71,10.95,12.15
Jogging,-1.27,18.81,7.31
Walking,0.34,10.31,-1.84
Standing,-1.57,9.47,2.68
Standing,0.08,9.85,1.54
Jogging,0.72,3.02,-1.53
Jogging,-12.26,14.6,13.14
Walking,-6.32,7.67,-4.67
Standing,3.53,8.39,0.5
Standing,2.45,9.38,2.76
Jogging,-0.11,9.51,-6.0474343
Standing,0.04,9.85,1.42
Standing,-1.88,9.66,-0.95
Walking,6.13,10.15,2.34
Standing,-1.27,9.58,2.79
Standing,-1.27,9.7,1.879608
Walking,0.57,7.89,0.38
Walking,-1.27,9.66,-0.27240697
Walking,-0.8,17.54,-3.5957718
Walking,-7.27,2.98,-0.61
Standing,0.15,9.96,-0.3
Jogging,7.7,3.49,5.28
Standing,-1.14,9.28,1.27
Jogging,-13.76,1.73,7.97
Walking,-4.25,15.43,3.3
Walking,4.02,11.03,-1.2666923
Standing,-4.9,8.43,-0.27
Jogging,-5.94,4.63,8.96
Walking,-0.3,9.7,0.61
Walking,-0.04,16.93,-9.66
Walking,-7.97,13.33,1.88
Standing,-0.91,9.38,2.7240696
Standing,-1.46,9.34,3.11
Standing,3.49,9.43,-1.99
Walking,-2.41,13.18,-7.06
Jogging,16.17,11.3,-3.45
Standing,-4.67,8.47,-1.04
Jogging,1.5,5.75,2.1111538
Jogging,0.61,0.04,1.334794
Standing,-0.72,9.92,2.34
Walking,9.62,8.43,0.61
Standing,-0.72,9.66,2.72
Standing,1.08,9.58,-1.6889231
Walking,-9.0,14.6,2.0294318
Jogging,-16.93,9.92,-14.79
Walking,1.08,13.29,-1.08
Jogging,-19.53,19.57,-13.4
Walking,2.72,10.95,7.8861814
Standing,-1.33,9.38,2.96
Walking,7.63,5.01,-0.72
Jogging,-2.53,-1.92,-0.38
Walking,-3.34,2.56,1.99
Jogging,-10.0,11.14,-11.304889
Jogging,-3.45,-1.84,-3.8681788
Walking,-10.61,7.06,0.23
Jogging,-5.37,-8.31,-13.91
Jogging,15.75,10.19,-2.18
Standing,-4.94,8.39,-0.15
Walking,4.25,10.5,-5.053149
Jogging,4.44,-7.74,9.53
Walking,-12.15,4.56,-4.14
Standing,-1.18,10.0,-0.61
Standing,0.95,9.92,0.31
Walking,4.67,7.06,2.83
Walking,-4.14,0.31,-1.33
Walking,-2.87,5.75,3.6774938
Standing,6.66,6.55,0.15
Walking,-6.36,1.69,-5.47538
Standing,-0.76,9.51,-0.31
Jogging,-5.9,14.82,11.958665
Jogging,7.06,3.15,2.15
Jogging,2.11,-8.54,0.61291564
Walking,-0.89,7.27,-3.1463003
Jogging,-3.64,8.2,0.040861044
Walking,5.79,12.87,0.6946377
Walking,1.33,14.06,3.6
Standing,-5.28,8.05,-1.27
Standing,0.93,9.92,0.23
Walking,-10.42,-0.42,1.84
Jogging,11.14,16.13,12.367276
Jogging,16.36,16.97,-3.718355
Jogging,4.52,-9.53,-1.8387469
Standing,-1.99,8.89,0.95
Standing,-0.08,9.92,0.95
Walking,-2.3,12.18,-7.21
Walking,-1.18,9.96,2.11
Walking,2.64,3.68,-4.33
Walking,0.89,13.57,-2.9556155
Jogging,3.45,0.11,-2.9147544
Standing,1.92,9.81,1.1168685
Standing,0.42,9.81,-1.2666923
Standing,-5.43,7.97,-1.14
Jogging,-1.99,-0.38,-9.28
Standing,3.34,9.38,-1.95
Jogging,-2.14,12.83,5.09401
Walking,2.87,8.96,-0.91
Jogging,4.99,-3.02,7.16
Standing,5.86,7.01,-0.08
Jogging,19.61,8.81,8.39
Walking,-13.67,16.51,0.04
Walking,5.41,1.33,2.34
Standing,-0.84,9.38,2.6832085
Jogging,-2.22,3.91,-6.44
Jogging,6.7,19.57,-8.01
Jogging,9.53,-11.88,0.61
Jogging,-6.93,-3.53,7.63
Walking,9.38,4.6,-1.7978859
Standing,-5.43,8.01,-1.04
Standing,6.4,6.32,-0.11
Standing,-0.84,9.43,2.7240696
Standing,-3.26,8.47,-0.72
Standing,-1.84,9.43,2.49
Jogging,-1.08,-6.05,-6.24
Jogging,-4.63,-1.5,-12.49
Jogging,-7.01,1.18,-5.41
Jogging,6.4,6.24,2.87
Walking,7.01,4.44,0.14982383
Standing,6.36,6.85,-0.08
Walking,-6.66,14.29,7.082581
Walking,7.25,10.27,5.597963
Jogging,-19.19,13.91,3.57
Jogging,9.3,3.91,3.3
Standing,2.26,9.58,1.12
Jogging,0.15,3.72,4.671779
Walking,12.18,8.12,-0.61
Walking,15.51,-1.12,-7.9679036
Walking,-1.84,2.45,-3.636633
Walking,0.46309182,8.308413,-3.486809
Jogging,-1.8,14.48,-1.6480621
Jogging,-5.75,10.95,-0.65
Standing,-1.18,9.34,1.14
Walking,13.44,10.23,4.7943625
Jogging,5.79,-6.43,0.53119355
Walking,4.9,5.6,-1.12
Standing,-1.14,9.66,2.79
Jogging,-9.58,-4.71,-7.93
Standing,-7.63,6.32,1.5
Walking,-8.62,16.09,-7.16
Jogging,-1.8,15.47,0.0
Walking,12.37,5.18,0.23
Standing,1.14,9.38,2.41
Standing,-5.98,7.5,1.38
Walking,-7.4,15.55,-0.69
Standing,-1.46,9.81,0.61
Jogging,-0.11,-10.08,3.36
Jogging,4.52,-2.45,-1.38
Standing,2.49,9.38,2.83
Standing,0.99,9.89,0.27
Jogging,-19.61,19.23,-14.86
Standing,0.46,9.89,-1.2258313
Jogging,-7.93,6.63,-0.34
Jogging,-12.41,17.16,-3.72
Standing,2.49,9.3,2.76
Walking,9.19,11.14,1.84
Standing,1.95,9.53,0.76
Jogging,10.31,9.47,-0.11
Standing,1.31,9.81,0.57
Walking,10.76,3.91,5.83
Standing,-1.23,9.43,2.72
Jogging,0.61,-3.41,2.83
Jogging,0.5,-1.38,-3.95
Jogging,6.4,1.18,5.05
Jogging,-8.27,19.57,-8.54
Standing,-0.99,9.38,-0.42
Walking,4.06,17.73,-6.66
Jogging,-4.67,8.81,2.1111538
Jogging,-4.33,2.83,-6.742072
Standing,-1.04,9.43,-0.53
Walking,0.38,10.61,-1.1849703
Jogging,6.28,15.75,-2.3
Jogging,-5.67,6.85,-0.88532263
Walking,0.65,3.91,-0.23154591
Walking,5.98,-0.08,-4.29
Walking,-9.72,18.01,-0.99
Walking,2.11,13.06,-4.99
Standing,1.04,9.92,0.34
Standing,-1.99,9.66,-0.99
Standing,-6.47,7.21,1.53
Jogging,-8.85,-3.21,2.49
Jogging,-10.08,-14.94,8.69
Standing,-1.95,9.62,-1.12
Standing,1.38,9.72,-0.46
Jogging,-6.82,19.95,-4.37
Standing,-0.23,10.76,-2.2201166
Standing,3.53,9.34,-1.73
Standing,-1.38,9.3,3.41
Walking,19.38,9.58,-2.72
Jogging,-12.87,10.31,-8.308413
Standing,1.14,9.89,-1.2666923
Walking,9.47,5.01,-2.56
Jogging,8.39,7.31,-7.59
Walking,-2.68,12.83,-7.082581
Jogging,7.01,8.01,4.21
Jogging,4.63,-7.21,1.7297841
Walking,4.25,13.48,-2.1383946
